,province_1,province_2,locality,street,lat,lon
0,Центральный федеральный округ,Москва,Москва,улица Егора Абакумова,55.879005,37.714474
1,Центральный федеральный округ,Москва,Москва,улица Талалихина,55.738307,37.673295
2,Центральный федеральный округ,Москва,Москва,Абельмановская улица,55.735571,37.669576
3,Центральный федеральный округ,Москва,Москва,Абрамцевская улица,55.892713,37.573007
4,Центральный федеральный округ,Москва,Москва,Абрамцевская улица,55.904074,37.572279
5,Центральный федеральный округ,Москва,Москва,Абрамцевская улица,55.906744,37.571525
6,Центральный федеральный округ,Москва,Москва,переулок Сивцев Вражек,55.747388,37.598043
7,Центральный федеральный округ,Москва,Москва,Авиамоторная улица,55.754882,37.715471
8,Центральный федеральный округ,Москва,Москва,Авиамоторная улица,55.754882,37.715471
9,Центральный федеральный округ,Москва,Москва,Авиамоторная улица,55.754882,37.715471
10,Центральный федеральный округ,Москва,Москва,Авиамоторная улица,55.750211,37.718489
11,Центральный федеральный округ,Москва,Москва,Авиамоторная улица,55.748468,37.719702
12,Центральный федеральный округ,Москва,Москва,Авиамоторная улица,55.746304,37.720986
13,Центральный федеральный округ,Москва,Москва,улица Авиаторов,55.645334,37.398051
14,Центральный федеральный округ,Москва,Москва,улица Авиаторов,55.645304,37.399399
15,Центральный федеральный округ,Москва,Москва,улица Авиаторов,55.644689,37.400099
16,Центральный федеральный округ,Москва,Москва,Азовская улица,55.662334,37.605715
17,Центральный федеральный округ,Москва,Москва,Азовская улица,55.660374,37.602049
18,Центральный федеральный округ,Москва,Москва,Большая Академическая улица,55.840427,37.54736
19,Центральный федеральный округ,Москва,Москва,Филипповский переулок,55.75058,37.598573
20,Центральный федеральный округ,Москва,Москва,Алтайская улица,55.820824,37.832952
21,Центральный федеральный округ,Москва,Москва,Алтуфьевское шоссе,55.85578,37.58588
22,Центральный федеральный округ,Москва,Москва,Алтуфьевское шоссе,55.85578,37.58588
23,Центральный федеральный округ,Москва,Москва,Алтуфьевское шоссе,55.872764,37.589042
24,Центральный федеральный округ,Москва,Москва,Алтуфьевское шоссе,55.880778,37.587865
25,Центральный федеральный округ,Москва,Москва,Алтуфьевское шоссе,55.880778,37.587865
26,Центральный федеральный округ,Москва,Москва,Алтуфьевское шоссе,55.903973,37.591297
27,Центральный федеральный округ,Москва,Москва,улица Амундсена,55.853001,37.657206
28,Центральный федеральный округ,Москва,Москва,Анадырский проезд,55.878187,37.705086
29,Центральный федеральный округ,Москва,Москва,Ангарская улица,55.871885,37.509873
30,Центральный федеральный округ,Москва,Москва,Ангарская улица,55.879263,37.524516
31,Центральный федеральный округ,Москва,Москва,проспект Андропова,55.683229,37.66821
32,Центральный федеральный округ,Москва,Москва,проспект Андропова,55.680828,37.662821
33,Центральный федеральный округ,Москва,Москва,проспект Андропова,55.679138,37.662425
34,Центральный федеральный округ,Москва,Москва,проспект Андропова,55.673549,37.664788
35,Центральный федеральный округ,Москва,Москва,проспект Андропова,55.674484,37.659605
36,Центральный федеральный округ,Москва,Москва,улица Арбат,55.752019,37.598348
37,Центральный федеральный округ,Москва,Москва,улица Арбат,55.752019,37.598348
38,Центральный федеральный округ,Москва,Москва,улица Арбат,55.751741,37.597522
39,Центральный федеральный округ,Москва,Москва,улица Арбат,55.751741,37.597522
40,Центральный федеральный округ,Москва,Москва,улица Арбат,55.750423,37.595348
41,Центральный федеральный округ,Москва,Москва,улица Арбат,55.750423,37.595348
42,Центральный федеральный округ,Москва,Москва,улица Арбат,55.750094,37.594764
43,Центральный федеральный округ,Москва,Москва,улица Арбат,55.750094,37.594764
44,Центральный федеральный округ,Москва,Москва,улица Арбат,55.749871,37.59356
45,Центральный федеральный округ,Москва,Москва,улица Арбат,55.749871,37.59356
46,Центральный федеральный округ,Москва,Москва,улица Арбат,55.749689,37.592959
47,Центральный федеральный округ,Москва,Москва,улица Арбат,55.749172,37.589617
48,Центральный федеральный округ,Москва,Москва,улица Арбат,55.749172,37.589617
49,Центральный федеральный округ,Москва,Москва,улица Арбат,55.748848,37.588826
50,Центральный федеральный округ,Москва,Москва,улица Арбат,55.748848,37.588826
51,Центральный федеральный округ,Москва,Москва,улица Арбат,55.748848,37.588826
52,Центральный федеральный округ,Москва,Москва,улица Арбат,55.748848,37.588826
53,Центральный федеральный округ,Москва,Москва,улица Арбат,55.74829,37.588206
54,Центральный федеральный округ,Москва,Москва,улица Арбат,55.74829,37.588206
55,Центральный федеральный округ,Москва,Москва,улица Арбат,55.748057,37.587533
56,Центральный федеральный округ,Москва,Москва,улица Арбат,55.748057,37.587533
57,Центральный федеральный округ,Москва,Москва,улица Артамонова,55.719095,37.459352
58,Центральный федеральный округ,Москва,Москва,Астраханский переулок,55.777353,37.639869
59,Центральный федеральный округ,Москва,Москва,Астраханский переулок,55.778861,37.639572
60,Центральный федеральный округ,Москва,Москва,Аэродромная улица,55.84674,37.430139
61,Центральный федеральный округ,Москва,Москва,Бабаевская улица,55.790595,37.689069
62,Центральный федеральный округ,Москва,Москва,улица Ивана Бабушкина,55.68498,37.562236
63,Центральный федеральный округ,Москва,Москва,улица Ивана Бабушкина,55.684676,37.561257
64,Центральный федеральный округ,Москва,Москва,Байкальская улица,55.817749,37.807261
65,Центральный федеральный округ,Москва,Москва,Байкальская улица,55.81778,37.808321
66,Центральный федеральный округ,Москва,Москва,Бакинская улица,55.618181,37.660772
67,Центральный федеральный округ,Москва,Москва,Балаклавский проспект,55.64855,37.571174
68,Центральный федеральный округ,Москва,Москва,Балаклавский проспект,55.649581,37.567366
69,Центральный федеральный округ,Москва,Москва,1-й Балтийский переулок,55.810471,37.518785
70,Центральный федеральный округ,Москва,Москва,улица Барклая,55.745863,37.496614
71,Центральный федеральный округ,Москва,Москва,Новая Басманная улица,55.769018,37.657188
72,Центральный федеральный округ,Москва,Москва,Бауманская улица,55.772796,37.678757
73,Центральный федеральный округ,Москва,Москва,Бауманская улица,55.771742,37.679053
74,Центральный федеральный округ,Москва,Москва,Татарская улица,55.733989,37.637623
75,Центральный федеральный округ,Москва,Москва,Башиловская улица,55.794178,37.576456
76,Центральный федеральный округ,Москва,Москва,Башиловская улица,55.799892,37.575316
77,Центральный федеральный округ,Москва,Москва,Башиловская улица,55.801298,37.574759
78,Центральный федеральный округ,Москва,Москва,Беговая улица,55.778061,37.555777
